Prompt Number,Title,Use Case,Full Prompt,Aspect Ratio,Best Platforms
521,Beauty Tools Rose Gold Luxe,"Beauty tools, cosmetic accessories, luxury beauty devices","You are a luxury beauty product photographer specializing in beauty tools and cosmetic accessories for premium beauty brands and device companies. Create an elegant product photograph of rose gold facial roller and gua sha tools arranged on soft pink marble surface with studio lighting creating metallic reflections and emphasizing premium materials. Use soft diffused lighting from above creating gentle shadows without harshness with luxury beauty aesthetic and feminine color palette. Feature rose gold metallic finish with pink marble textures and clean minimalist composition. Shot with controlled depth of field keeping tools sharp while background softly transitions to blur. The image should feel luxurious, spa-like, and premium. Avoid cheap-looking props or harsh lighting.",1:1,Beauty E-commerce / Instagram / Luxury Beauty Marketing
522,Natural Beauty Minimal Makeup,"Clean beauty brands, natural cosmetics, minimal makeup campaigns","You are a natural beauty photographer specializing in clean beauty aesthetics and minimal makeup campaigns for natural cosmetic brands. Create a fresh beauty portrait showing model with barely-there natural makeup emphasizing healthy glowing skin, groomed brows, and subtle lip color in bright natural window light creating soft even illumination. Use close-up framing focusing on face with genuine beauty showing real skin texture including freckles and natural characteristics without heavy retouching. Feature neutral warm tones with clean beauty aesthetic emphasizing skincare over makeup. Shot with 85mm lens at f/2.8 for beautiful skin rendering and gentle background blur. The image should feel authentic, fresh, and naturally beautiful. Avoid heavy makeup or excessive retouching.",4:5,Clean Beauty Brands / Natural Marketing / Social Media
523,Clinical Skincare Medical Aesthetic,"Medical skincare, dermatology products, clinical beauty","You are a clinical product photographer specializing in medical-grade skincare and dermatological products for professional skincare brands. Create a clean clinical photograph of medical-grade skincare serum in pharmaceutical-style packaging on pure white background with bright even lighting eliminating all shadows creating sterile professional aesthetic. Use straight-on perspective with product centered and label fully visible ensuring medical claims and ingredient information readable. Feature clinical white and blue color palette with pharmaceutical credibility and medical trust emphasized. Shot with commercial product photography standards ensuring accurate representation for medical marketing. The image should feel trustworthy, professional, and clinically credible. Avoid lifestyle styling or artistic elements.",1:1,Medical Marketing / Clinical E-commerce / Professional Products
524,Luxury Skincare Gold Packaging,"Prestige skincare, luxury beauty, high-end cosmetics","You are a luxury beauty photographer specializing in prestige skincare and high-end cosmetic photography for luxury beauty brands. Create an opulent product photograph of premium anti-aging cream in heavy gold jar positioned on black granite with dramatic spotlight creating luxurious atmosphere and emphasizing gold packaging details. Use chiaroscuro lighting with strong contrast between illuminated product and dark background with specular highlights on gold elements. Feature rich color palette of gold, black, and deep shadows with luxury beauty aesthetic communicating premium positioning and high price point. Shot with controlled studio lighting and precise focus on product maintaining sharp detail on packaging. The image should feel expensive, exclusive, and aspirational. Avoid budget aesthetics or flat lighting.",4:5,Luxury Beauty / Premium E-commerce / Prestige Campaigns
525,Men's Grooming Products Masculine,"Men's skincare, grooming products, masculine beauty","You are a men's grooming photographer specializing in masculine beauty products and men's personal care for contemporary grooming brands. Create a masculine product photograph of men's skincare products including face wash and moisturizer arranged on dark slate surface with moody dramatic lighting creating strong shadows and masculine aesthetic. Use side lighting emphasizing texture and material quality with minimal styling keeping focus on products. Feature dark masculine color palette of charcoal, black, and silver with contemporary men's grooming aesthetic. Shot with natural materials and honest product representation avoiding overly feminine beauty clichés. The image should feel masculine, modern, and authentically male-focused. Avoid feminine aesthetics or soft pastel colors.",1:1,Men's Grooming / Male-Focused Marketing / E-commerce
526,Sushi Plating Japanese Precision,"Japanese restaurants, sushi marketing, culinary photography","You are a Japanese cuisine photographer specializing in sushi and traditional Japanese food presentation for high-end Japanese restaurants. Create an elegant overhead photograph of beautifully arranged sushi platter on traditional black lacquer plate showing variety of nigiri and rolls with precise knife work and garnishes including pickled ginger, wasabi, and soy sauce in small dish. Use natural diffused daylight from window creating soft shadows with minimal styling emphasizing authentic Japanese presentation aesthetics. Feature fresh fish colors against dark plate with negative space and minimalist composition reflecting Japanese design principles. Shot from directly above with even focus across all sushi pieces showing craftsmanship and fresh ingredients. The image should feel authentic, refined, and appetizing. Avoid messy plating or inauthentic presentation.",1:1,Restaurant Marketing / Japanese Cuisine / Instagram
527,Vegan Buddha Bowl Colorful Health,"Vegan restaurants, health food, plant-based marketing","You are a health food photographer specializing in plant-based cuisine and vegan food photography for health-conscious restaurants and meal delivery services. Create a vibrant overhead photograph of colorful vegan buddha bowl featuring quinoa, roasted vegetables, avocado, chickpeas, and tahini drizzle arranged in organized sections within ceramic bowl on light wood surface. Use natural bright daylight creating fresh healthy aesthetic with rainbow of vegetable colors visible showing nutritional variety and visual appeal. Feature bright saturated colors emphasizing fresh ingredients with clean modern food styling. Shot from 45-degree overhead angle showing full bowl composition with intentional arrangement communicating health and nutrition. The image should feel healthy, colorful, and appetizing. Avoid dull colors or unappetizing presentation.",1:1,Health Food Marketing / Vegan Restaurants / Instagram
528,Gluten-Free Baking Artisan Bread,"Gluten-free bakeries, dietary products, specialty baking","You are a specialty food photographer focusing on dietary-specific foods and artisan baking for gluten-free and allergy-friendly food brands. Create an appetizing close-up photograph of freshly baked gluten-free artisan bread loaf with golden crust and visible texture sitting on rustic wooden cutting board with soft natural window light highlighting crust details and creating warm inviting atmosphere. Use shallow depth of field keeping foreground bread slice sharp showing interior crumb structure while loaf softly blurs behind. Feature warm golden brown tones with honest representation of gluten-free baking results including texture and color. Shot with macro lens revealing bread texture and baking quality. The image should feel artisanal, appetizing, and honest about gluten-free products. Avoid making product look identical to wheat bread or misrepresenting texture.",4:5,Gluten-Free Marketing / Bakery Products / Dietary Food
529,Artisan Cheese Board Entertaining,"Cheese brands, entertaining products, gourmet food","You are a gourmet food photographer specializing in cheese and charcuterie styling for artisan food brands and entertaining products. Create an abundant overhead photograph of artisan cheese board featuring variety of cheeses, cured meats, fresh figs, nuts, honey drizzle, and crackers arranged abundantly on wooden board with natural daylight from window creating appetizing shadows and dimensional lighting. Use editorial food styling with intentional abundance and composed casualness showing entertaining inspiration. Feature rich colors of aged cheese, cured meats, and fresh accompaniments with textures visible including cheese rinds and meat marbling. Shot from 45-degree overhead keeping most elements in focus showing complete spread. The image should feel indulgent, entertaining-focused, and aspirational. Avoid sparse arrangements or clinical presentation.",1:1,Food Marketing / Entertaining Brands / Pinterest
530,Decadent Chocolate Cake Dessert,"Bakery marketing, dessert menus, pastry shops","You are a pastry photographer specializing in decadent desserts and bakery photography for pastry shops and restaurant dessert menus. Create an indulgent close-up photograph of triple-layer chocolate cake with glossy ganache frosting on white plate with fork capturing first bite showing moist cake layers and rich chocolate filling. Use dramatic side lighting creating highlights on glossy chocolate surface with shallow depth of field keeping cake slice sharp while background fades to blur. Feature deep chocolate brown colors with contrast against white plate and visible texture showing cake moisture and ganache sheen. Shot with macro lens emphasizing decadence and detail. The image should feel indulgent, craveable, and appetite-inducing. Avoid dry-looking cake or poor lighting.",4:5,Bakery Marketing / Dessert Menus / Instagram
531,Craft Cocktail Garnish Detail,"Bar marketing, cocktail menus, beverage programs","You are a beverage photographer specializing in craft cocktails and bar photography for upscale bars and beverage programs. Create a sophisticated close-up photograph of craft cocktail in coupe glass with elaborate garnish including fresh herbs and citrus twist against dark moody bar background with dramatic lighting creating specular highlights on glass rim and liquid surface. Use low-key lighting emphasizing cocktail as subject with background darkness suggesting upscale bar atmosphere. Feature jewel-tone cocktail color with visible garnish details and condensation on glass showing cold temperature. Shot with shallow depth of field keeping glass sharp while background bar ambiance softly blurs. The image should feel sophisticated, bar-quality, and cocktail-forward. Avoid amateur presentation or harsh lighting.",4:5,Bar Marketing / Cocktail Menus / Beverage Programs
532,Specialty Coffee Latte Art,"Coffee shops, specialty coffee, barista content","You are a specialty coffee photographer focusing on latte art and coffee culture for third-wave coffee shops and specialty roasters. Create an overhead photograph of perfectly executed latte art in white ceramic cup on saucer against light wood cafe table with natural window light creating soft shadows and highlighting microfoam texture and art contrast. Use overhead perspective showing complete rosetta or heart pattern with brown and white contrast visible in steamed milk art. Feature coffee shop aesthetic with minimal styling emphasizing barista skill and coffee quality. Shot from directly above with even focus showing art definition and microfoam texture. The image should feel artisanal, coffee-focused, and cafe-authentic. Avoid fake latte art or poor contrast.",1:1,Coffee Shop Marketing / Instagram / Barista Content
533,Tea Ceremony Traditional Aesthetic,"Tea brands, tea rooms, cultural marketing","You are a cultural food photographer specializing in tea culture and traditional tea ceremony photography for premium tea brands. Create a serene photograph of traditional tea ceremony setup with cast iron teapot, small ceramic cups, and loose leaf tea on bamboo mat with soft natural window light creating peaceful meditative atmosphere and highlighting steam rising from freshly poured tea. Use side lighting creating dimensional shadows with minimalist Japanese aesthetic and muted earth tones. Feature traditional tea ceremony elements with cultural authenticity and respectful presentation showing appreciation for tea culture. Shot with natural light only maintaining authentic atmosphere. The image should feel peaceful, cultural, and respectfully authentic. Avoid cultural appropriation or inauthentic props.",4:5,Tea Marketing / Cultural Content / Premium Tea Brands
534,Green Smoothie Health Fresh,"Juice bars, health drinks, smoothie marketing","You are a health beverage photographer specializing in smoothies and fresh juice photography for juice bars and health food brands. Create a fresh vibrant photograph of bright green smoothie in clear glass showing layered ingredients with fresh spinach leaves, banana slices, and chia seeds as garnish on white marble surface with bright natural daylight creating clean fresh aesthetic. Use close-up perspective showing smoothie texture and fresh ingredient garnishes with health-focused styling. Feature bright green color with fresh ingredients visible communicating nutrition and freshness. Shot with bright exposure emphasizing cleanliness and health with shallow depth keeping foreground glass sharp. The image should feel healthy, fresh, and energizing. Avoid dull colors or unappetizing presentation.",4:5,Juice Bars / Health Marketing / Instagram
535,Meal Prep Containers Organization,"Meal prep services, health coaching, fitness nutrition","You are a meal prep photographer specializing in organized food preparation and nutrition photography for meal prep services and fitness nutrition brands. Create an organized overhead photograph showing row of glass meal prep containers filled with balanced meals including grilled protein, roasted vegetables, and grain portions arranged on clean white surface with bright even lighting showing food organization and portion control. Use overhead perspective with all containers visible showing week's worth of prepared meals with variety visible across different containers. Feature organized aesthetic with fresh ingredients and portion-controlled presentation communicating healthy eating and meal planning. Shot from directly above with even lighting across all containers. The image should feel organized, healthy, and motivating. Avoid messy presentation or unappetizing food.",1:1,Meal Prep Services / Fitness Nutrition / Health Coaching
536,Food Styling Rustic Ingredients,"Food brands, ingredient marketing, cookbook photography","You are a food stylist photographer specializing in ingredient photography and rustic food styling for cookbooks and food brands. Create an abundant flat lay photograph of fresh cooking ingredients including vegetables, herbs, olive oil, and wooden utensils scattered artfully on rustic wooden surface with natural window light creating dimensional shadows and emphasizing fresh ingredient textures. Use overhead perspective with intentional casualness suggesting cooking process about to begin with abundance of fresh produce visible. Feature natural earth tones with emphasis on ingredient quality and freshness with editorial cookbook aesthetic. Shot from above with selective focus keeping foreground sharp while background ingredients create depth. The image should feel abundant, fresh, and cooking-inspired. Avoid overly styled or artificial arrangements.",1:1,Cookbooks / Ingredient Marketing / Food Blogs
537,Premium Dog Food Natural Ingredients,"Premium pet food, dog nutrition, pet product marketing","You are a pet product photographer specializing in premium pet food and animal nutrition photography for high-end pet food brands. Create an appetizing photograph of premium dog food bowl filled with fresh whole-food ingredients including visible chicken pieces, vegetables, and brown rice with ingredients arranged to show quality and freshness beside bowl on clean white surface with bright natural lighting. Use perspective showing food quality and fresh ingredients with clean premium aesthetic. Feature natural food colors with honest representation of product quality appealing to pet owners seeking premium nutrition. Shot with shallow depth keeping bowl sharp with bright clean commercial food photography standards. The image should feel premium, natural, and quality-focused. Avoid unappetizing presentation or generic pet food aesthetics.",1:1,Premium Pet Brands / E-commerce / Pet Product Marketing
538,Baby Products Soft Nursery Aesthetic,"Baby product brands, nursery goods, infant care","You are a baby product photographer specializing in nursery goods and infant care products for baby brands and parenting retailers. Create a soft gentle photograph of baby skincare products including lotion and shampoo arranged on soft white knitted blanket with pastel nursery decor elements like wooden toys in background with natural diffused window light creating gentle shadows and peaceful atmosphere. Use shallow depth keeping products sharp while background nursery elements softly blur creating lifestyle context. Feature soft pastel color palette of whites, creams, and gentle pastels with baby-safe aesthetic and parental trust emphasis. Shot with gentle lighting and soft focus aesthetics appropriate for baby marketing. The image should feel safe, gentle, and parent-focused. Avoid harsh elements or clinical aesthetics.",4:5,Baby Product Marketing / Parenting Blogs / E-commerce
539,Senior Wellness Active Aging,"Senior products, active aging brands, retirement marketing","You are a lifestyle photographer specializing in active aging and senior wellness photography for products and services targeting older adults. Create an authentic lifestyle photograph of active senior adult using wellness product like fitness tracker or supplement bottle while engaged in healthy activity like yoga or walking in bright natural outdoor setting with warm sunlight creating positive energetic atmosphere. Use lifestyle photography showing genuine representation of active aging without stereotypes or patronizing imagery. Feature bright natural colors with authentic senior models showing strength and vitality with honest age representation. Shot with natural light emphasizing positivity and capability. The image should feel respectful, positive, and authentically representative. Avoid stereotypical senior imagery or ageist presentation.",4:5,Senior Product Marketing / Active Aging Brands / Wellness
540,Adaptive Accessibility Products Inclusive,"Accessibility products, adaptive equipment, inclusive design","You are an inclusive product photographer specializing in accessibility and adaptive equipment photography representing diverse abilities and universal design. Create a respectful product photograph of adaptive kitchen tool designed for limited hand mobility shown in clean product shot on neutral background with clear view of adaptive features and ergonomic design elements with bright even lighting showing product details clearly. Use straightforward commercial photography emphasizing functional design and quality construction with inclusive marketing approach. Feature clean aesthetic focusing on product capability and thoughtful design without patronizing presentation. Shot with commercial product standards ensuring features visible and clearly communicated. The image should feel respectful, functional, and design-focused. Avoid inspiration porn or patronizing imagery.",1:1,Accessibility Marketing / Adaptive Equipment / Inclusive Brands
541,Eco-Friendly Products Sustainable Packaging,"Sustainable products, eco-brands, zero-waste marketing","You are an eco-conscious product photographer specializing in sustainable products and zero-waste brands with environmental focus. Create an honest product photograph of eco-friendly cleaning products in recycled packaging arranged on natural wood surface with plants and natural elements in background with natural window light creating organic shadows and emphasizing sustainable materials and minimal packaging design. Use lifestyle context suggesting environmental consciousness with earth-tone color palette of greens, browns, and natural fibers. Feature sustainable packaging clearly with brand values visible through material choices and design. Shot with natural light only maintaining authentic environmental aesthetic. The image should feel genuine, earth-conscious, and value-driven. Avoid greenwashing or inauthentic eco-aesthetics.",1:1,Sustainable Brands / Eco-Marketing / Social Media
542,Luxury Gift Box Premium Unboxing,"Luxury gifts, premium packaging, subscription boxes","You are a luxury packaging photographer specializing in premium gift experiences and unboxing photography for luxury brands and subscription services. Create an elegant overhead photograph of opened luxury gift box showing tissue paper, premium products arranged inside, and elegant packaging details on marble surface with soft studio lighting creating shadows and emphasizing packaging quality and luxurious presentation. Use flatlay perspective showing complete unboxing experience with attention to packaging details including ribbon, tissue, and product arrangement. Feature sophisticated color palette with premium materials visible including quality cardstock and elegant finishing. Shot from above with controlled lighting emphasizing luxury at every detail. The image should feel premium, gift-worthy, and unboxing-focused. Avoid cheap packaging or poor presentation.",1:1,Luxury Gifting / Subscription Boxes / Premium E-commerce
543,Smart Home Device Tech Integration,"Smart home products, home automation, tech gadgets","You are a technology lifestyle photographer specializing in smart home devices and home automation photography for consumer tech brands. Create a clean lifestyle photograph of smart home device like voice assistant or smart display integrated naturally into modern home interior on shelf with home decor items and soft ambient lighting suggesting evening home atmosphere with device screen illuminated showing active use. Use lifestyle context showing natural integration into daily life with modern home aesthetic and realistic use case visible. Feature contemporary interior design with device as functional element not dominating space. Shot with natural ambient light plus device screen glow creating realistic home environment. The image should feel realistic, lifestyle-integrated, and technology-forward. Avoid sterile product shots or unrealistic staging.",16:9,Smart Home Marketing / Tech Lifestyle / E-commerce
544,Home Security Camera Installation,"Home security, safety products, surveillance equipment","You are a home security photographer focusing on safety products and security equipment for home protection brands and security companies. Create a straightforward photograph of modern home security camera mounted on home exterior near entry door with clear view of device showing weatherproof construction and camera lens with natural daylight and clean residential background suggesting suburban home setting. Use honest product documentation showing realistic installation and product appearance with trust-building aesthetic. Feature neutral colors with professional installation visible and product quality communicated. Shot emphasizing security and protection without fear-mongering or overly dramatic presentation. The image should feel safe, professional, and trust-building. Avoid fear-based marketing or threatening aesthetics.",16:9,Security Marketing / Home Safety / Product Documentation
545,Garden Tools Quality Craftsmanship,"Garden tool brands, outdoor equipment, gardening products","You are a tool and outdoor equipment photographer specializing in garden tools and outdoor gear for gardening brands and outdoor retailers. Create a detailed product photograph of premium garden tools including hand trowel and pruning shears arranged on weathered wood surface with soil and fresh plants visible suggesting authentic garden use with natural outdoor lighting creating honest working tool aesthetic. Use close perspective showing tool construction, material quality, and worn patina suggesting durability and real use. Feature earth tones with emphasis on quality construction and functional design over decorative styling. Shot with natural light showing tools as working equipment not lifestyle props. The image should feel authentic, durable, and quality-focused. Avoid pristine styling or disconnect from actual use.",1:1,Garden Tool Marketing / Outdoor Equipment / E-commerce
546,Craft Supplies Creative Inspiration,"Craft brands, hobby supplies, creative materials","You are a craft and hobby photographer specializing in creative supplies and maker materials for craft brands and creative retailers. Create an inspiring overhead flatlay photograph of craft supplies including colorful papers, scissors, washi tape, and art materials arranged in organized creative chaos on white surface with bright overhead lighting showing supply variety and color range with creative inspiration emphasized. Use flatlay composition showing abundance of creative materials with organization suggesting project possibilities. Feature bright saturated colors with variety of supplies visible appealing to creative hobbyists and crafters. Shot from directly above with even lighting showing all materials clearly. The image should feel inspiring, colorful, and creativity-focused. Avoid cluttered chaos or poor organization.",1:1,Craft Marketing / Creative Supplies / Pinterest
547,Stop Motion Product Animation Frame,"Social media content, animated posts, dynamic product shots","You are a stop-motion photographer creating frame-perfect product photography for animated social media content and dynamic brand storytelling. Create a clean isolated product photograph of consumer product like headphones positioned mid-frame against seamless white background with perfect even lighting eliminating all shadows for easy compositing and animation editing with product centered and clearly defined for stop-motion sequence frame. Use flat frontal lighting with product photographed at consistent angle and scale maintaining continuity for animation frames. Feature product isolated cleanly with consistent lighting across series. Shot with fixed camera position and controlled studio environment for frame-by-frame consistency. The image should feel clean, isolated, and animation-ready. Avoid shadows, inconsistent lighting, or perspective changes.",1:1,Stop Motion Content / Social Media Animation / Brand Content
548,Flatlay Morning Routine Lifestyle,"Lifestyle content, morning rituals, personal branding","You are a lifestyle flatlay photographer creating aspirational daily routine content for lifestyle brands and personal branding. Create an organized overhead photograph of morning routine items including coffee cup, journal, glasses, phone, and fresh flowers arranged in intentional flatlay composition on white linen surface with natural morning window light creating soft shadows and fresh morning atmosphere. Use overhead perspective with items arranged showing visual balance and lifestyle aesthetic suggesting organized morning ritual. Feature neutral color palette with coffee tones, white linens, and natural elements creating calm morning mood. Shot from directly above with soft natural light. The image should feel aspirational, organized, and lifestyle-focused. Avoid cluttered arrangements or artificial styling.",1:1,Lifestyle Content / Instagram / Personal Branding
549,Overhead Workspace Desk Organization,"Productivity content, workspace design, professional branding","You are a workspace photographer specializing in desk organization and professional environment photography for productivity brands and workspace solutions. Create a clean overhead photograph of organized desk workspace showing laptop, notebook, coffee, and minimal desk accessories arranged in productive layout on clean desk surface with even overhead lighting showing organization and professional aesthetic. Use bird's eye perspective with all items clearly visible and arranged with intentional organization suggesting productivity and focus. Feature clean modern aesthetic with minimal color palette and professional workspace styling. Shot from directly above with even lighting eliminating shadows. The image should feel organized, professional, and productivity-focused. Avoid cluttered desks or chaotic arrangements.",16:9,Productivity Content / Professional Branding / LinkedIn
550,Macro Product Texture Detail,"Product detail marketing, material showcase, quality emphasis","You are a macro product photographer specializing in extreme close-up material photography revealing texture and craftsmanship for premium brands emphasizing quality. Create an extreme macro photograph of product material texture like leather grain, woven fabric, or metal finish filling entire frame with dramatic side lighting creating dimensional shadows emphasizing texture depth and material character. Use macro lens at close focusing distance with shallow depth of field creating artistic blur while keeping select texture area critically sharp. Feature material texture as abstract composition with quality and craftsmanship communicated through detail. Shot with 100mm macro lens at f/2.8 for selective focus emphasizing tactile quality. The image should feel textural, quality-focused, and detail-oriented. Avoid missing details or flat lighting.",1:1,Detail Marketing / Material Showcase / Premium Branding
551,Wide Environmental Lifestyle Scene,"Brand storytelling, lifestyle campaigns, environmental context","You are an environmental lifestyle photographer creating wide contextual scenes showing products in authentic real-world environments for brand storytelling campaigns. Create a wide-angle lifestyle photograph showing person using product in expansive natural outdoor environment like mountain landscape or beach with subject small in frame emphasizing environmental context and lifestyle over product close-up with natural lighting and authentic moment captured. Use 24mm wide-angle lens including expansive environment with subject positioned using rule of thirds creating visual story about lifestyle and values. Feature natural color palette with environmental beauty emphasized alongside product use. Shot with wider aperture maintaining both subject and environmental sharpness. The image should feel expansive, lifestyle-authentic, and story-driven. Avoid product-centric framing or missing environmental context.",16:9,Brand Storytelling / Lifestyle Campaigns / Website Heroes
552,Portrait Founder Brand Story,"Personal branding, founder stories, about pages","You are a brand portrait photographer specializing in founder photography and personal branding for entrepreneurs and small business owners. Create an authentic founder portrait showing business owner in their workspace or relevant environment with genuine expression and professional appearance captured in natural window light creating approachable yet professional aesthetic. Use environmental portrait approach including workspace elements providing brand context while keeping founder as clear subject with shallow depth of field. Feature natural colors with honest representation avoiding overly corporate or artificial presentation. Shot with 85mm lens at f/2 creating beautiful subject separation while maintaining environmental storytelling. The image should feel authentic, approachable, and brand-appropriate. Avoid stiff corporate headshots or disconnected environments.",4:5,About Pages / Founder Stories / Personal Branding
553,Lifestyle Action Movement Dynamic,"Active lifestyle brands, sports marketing, energy products","You are an action lifestyle photographer capturing dynamic movement and energy for active lifestyle brands and sports marketing campaigns. Create a dynamic action photograph showing athlete or active person mid-motion during activity like running or jumping with motion blur in background suggesting speed while subject remains relatively sharp frozen at peak action moment with natural outdoor lighting and authentic athletic environment. Use panning technique or fast shutter speed freezing action at decisive moment with dynamic composition showing energy and movement. Feature active color palette with motion and athleticism communicated through composition and captured moment. Shot with continuous autofocus and burst mode capturing peak action. The image should feel energetic, dynamic, and movement-focused. Avoid static poses or missing action moment.",16:9,Sports Marketing / Active Lifestyle / Energy Brands
554,Still Life Artistic Composition,"Editorial content, artistic branding, gallery-quality imagery","You are a fine art still life photographer creating artistic compositions for editorial publications and premium brand content with gallery-quality aesthetic. Create a carefully composed still life photograph featuring curated objects arranged with artistic intention on textured surface with single-source dramatic lighting creating strong shadows and dimensional depth emphasizing form and texture over literal product representation. Use classical still life painting inspiration with controlled lighting and intentional object selection creating visual narrative. Feature muted sophisticated color palette with emphasis on composition, light, and shadow creating artistic impact. Shot with view camera or tilt-shift lens maintaining precise focus plane. The image should feel artistic, intentional, and gallery-worthy. Avoid commercial product aesthetics or literal documentation.",4:5,Editorial Content / Artistic Branding / Gallery Quality
555,Conceptual Abstract Brand Metaphor,"Conceptual campaigns, brand values, abstract messaging","You are a conceptual commercial photographer creating abstract visual metaphors for brand campaigns and value-driven marketing communications. Create an abstract conceptual photograph using everyday objects, materials, or elements arranged to suggest concept like growth, connection, or innovation through visual metaphor rather than literal representation with controlled studio lighting creating dramatic mood and emphasizing conceptual interpretation. Use creative composition and abstract approach suggesting branded concept through visual language with colors and elements supporting brand messaging. Feature sophisticated conceptual aesthetic with artistic interpretation over literal documentation. Shot with creative techniques supporting conceptual vision including selective focus, unusual angles, or creative lighting. The image should feel conceptual, thought-provoking, and metaphorically rich. Avoid literal or obvious visual communication.",1:1,Conceptual Campaigns / Brand Values / Abstract Messaging
556,Hand Model Product Interaction,"Product demonstrations, usage imagery, hand modeling","You are a hand model photographer specializing in product interaction photography showing elegant hands demonstrating product use for commercial marketing. Create a detailed close-up photograph of well-groomed hands with manicured nails holding or using product showing product interaction and scale with clean background and soft studio lighting creating dimensional shadows without harshness emphasizing both hand aesthetics and product details. Use hand model standards with perfect grooming and natural hand position demonstrating product appropriately. Feature clean aesthetic with product and hands both clearly visible and well-lit. Shot with medium depth of field keeping both hands and product in acceptable focus. The image should feel clean, commercial, and professionally executed. Avoid awkward hand positions or poor grooming.",1:1,Product Demonstrations / E-commerce / Usage Imagery
557,Product Scale Comparison Size Reference,"E-commerce, size communication, product specifications","You are an e-commerce product photographer creating scale reference imagery helping customers understand product size through visual comparison. Create a straightforward product photograph showing product positioned next to common size reference object like coin or ruler providing accurate scale understanding with clean white background and even studio lighting eliminating shadows and ensuring accurate size perception critical for online shopping. Use flat frontal lighting with both product and reference object clearly visible and in focus with honest scale representation. Feature clean commercial aesthetic prioritizing clarity and accuracy over artistic interpretation. Shot with adequate depth of field ensuring both elements sharp. The image should feel clear, honest, and size-communicative. Avoid misleading scale or unclear references.",1:1,E-commerce / Size Communication / Product Specifications
558,Before-After Transformation Split,"Service marketing, transformation stories, result demonstrations","You are a transformation photographer creating before-after comparison imagery for service-based businesses and result-focused marketing campaigns. Create a split-frame comparison photograph showing clear before and after states of transformation like organized space, completed renovation, or styling result with consistent lighting and camera angle across both sides ensuring fair comparison with visual dividing line separating before and after states. Use identical framing and lighting maintaining comparison integrity with dramatic difference visible between states communicating service value and transformation impact. Feature consistent color treatment with transformation results clearly visible. Shot from identical camera position with matched exposure settings. The image should feel honest, comparison-focused, and results-driven. Avoid unfair lighting differences or misleading comparisons.",16:9,Service Marketing / Transformation Stories / Results Demonstrations
559,Ingredient Transparency Product Story,"Natural brands, ingredient marketing, transparency communication","You are a transparency-focused product photographer creating ingredient story imagery for natural brands emphasizing sourcing and components. Create an editorial photograph showing finished product positioned with raw ingredients visible around it like botanical ingredients surrounding skincare product or whole foods near food product connecting finished good to natural origins with natural lighting and organic styling emphasizing ingredient quality and brand transparency. Use lifestyle editorial approach with natural materials and honest representation showing ingredient-to-product connection. Feature natural earth tones with emphasis on whole ingredients and natural sourcing. Shot with natural window light maintaining authentic organic aesthetic. The image should feel transparent, natural, and ingredient-focused. Avoid artificial elements or disconnected styling.",1:1,Natural Brands / Ingredient Marketing / Transparency Communication
560,Seasonal Holiday Gift Guide,"Holiday marketing, gift guides, seasonal campaigns","You are a seasonal marketing photographer creating holiday gift guide imagery for retail seasonal campaigns and curated gift selections. Create a festive flat lay photograph featuring curated selection of gift products arranged on seasonal surface with holiday decorative elements like pine branches, ornaments, or seasonal textiles integrated naturally without overwhelming products with soft natural light plus warm ambient glow suggesting holiday coziness. Use overhead flatlay composition showing multiple gift items organized by theme or recipient with seasonal styling enhancing but not dominating product visibility. Feature holiday color palette appropriate to season with warm inviting aesthetic. Shot from above with soft lighting creating gift guide aesthetic. The image should feel festive, gift-focused, and seasonally appropriate. Avoid excessive decoration obscuring products.",1:1,Holiday Marketing / Gift Guides / Seasonal Campaigns
561,Unboxing Experience First Impression,"Subscription boxes, product launches, customer experience","You are an unboxing photographer documenting customer experience and first-impression moments for subscription services and product launches. Create an authentic overhead photograph capturing moment of opening product packaging showing customer hands lifting box lid revealing product inside with tissue paper, packaging materials, and first glimpse of product visible with natural indoor lighting suggesting real customer environment rather than studio. Use overhead perspective showing complete unboxing moment with authentic customer experience emphasized over perfect styling. Feature real-world aesthetic with genuine unboxing excitement communicated. Shot with natural available light maintaining authenticity. The image should feel authentic, experience-focused, and customer-perspective. Avoid overly styled studio aesthetics disconnected from real experience.",1:1,Subscription Boxes / Product Launches / Experience Marketing
562,Texture Close-Up Material Detail,"Fashion textiles, material marketing, quality communication","You are a textile and material photographer specializing in extreme close-up fabric and material photography communicating quality and texture for fashion and textile brands. Create an extreme macro photograph of fabric weave or material texture filling frame showing individual fibers, weave pattern, or material construction with dramatic raking light from side emphasizing texture dimensionality and material character with shallow depth of field creating selective focus on texture zone while remainder blurs artistically. Use macro lens at minimum focus distance revealing material construction and quality invisible to casual observation. Feature material texture as primary subject with quality communicated through detail. Shot with precise focus on material structure. The image should feel textural, quality-focused, and detail-revealing. Avoid flat lighting missing texture dimension.",1:1,Material Marketing / Quality Communication / Textile Brands
